"","Bcell","CD4T","CD8T","Gran","Mono","NK"
"GSM748653",0,0.419206742062465,-3.6136766959743e-17,0.383176031325138,0.340351626126881,0.151555012387369
"GSM748654",0,0.313366416577135,-3.55639576578684e-17,0.514416604694266,0.305360610984129,0.160263411700552
"GSM748655",0,0.380214889472257,1.83328257946909e-16,0.456342167253218,0.337583403335379,0.138997479031044
"GSM748656",0,0.412489511206273,-3.78284027796016e-17,0.408976577500044,0.322154139264376,0.153664766154663
"GSM748657",0,0.407907076953389,-3.52200981901628e-17,0.403602556570028,0.335078064188937,0.147367423173667
"GSM748658",0,0.415430221187858,-3.5307922325752e-17,0.377443546235178,0.336107605996369,0.158965484731073
"GSM748659",0,0.403106485013894,-3.0690625357447e-17,0.390620026155759,0.363345335667533,0.143755282395197
"GSM748660",0,0.432074491189515,-3.51933241765371e-17,0.372896705564592,0.326859357506445,0.156223899402967
"GSM748661",0,0.364163228877304,-4.13048302038541e-17,0.390278107442651,0.357569591690538,0.184460626785245
"GSM748662",0,0.399958306928851,-3.96152328240618e-17,0.415802782114096,0.358364535281417,0.127739449143989
"GSM748663",0,0.384179747598898,-3.08988875077626e-17,0.387562773927308,0.373269204425853,0.164688328485089
"GSM748664",0,0.417026236297924,-4.10126810716831e-17,0.428300212794956,0.349252561067763,0.112757652965822
"GSM748665",2.77555756156289e-17,0.376700843156899,-4.01005787840578e-17,0.503062862161249,0.286182837670175,0.151205384104968
"GSM748666",-2.77555756156289e-17,0.412611357534715,-3.79468230999886e-17,0.374382338800317,0.376105973110184,0.144869818164492
"GSM748667",0,0.404522758876723,-4.57752356989216e-17,0.421703649938366,0.344257335167792,0.141565393808419
"GSM748668",0,0.413998756452673,-3.79048491064127e-17,0.404129851321262,0.340906757077656,0.142656915310529
